WhiteElo,BlackElo,Result,Termination,Opening,ECO,TimeControl
1606,1318,1-0,Time forfeit,Bishop's Opening,C23,60+0
1607,1468,0-1,Time forfeit,French Defense: Advance Variation #3,C02,120+0
1575,1747,0-1,Normal,King's Knight Opening: Normal Variation,C44,300+0
1615,1816,0-1,Normal,Queen's Pawn Game: Colle System,D04,240+0
1372,1299,0-1,Normal,Goldsmith Defense,B00,480+10
1546,1419,1-0,Time forfeit,French Defense: Knight Variation,C00,1200+0
1578,1397,0-1,Normal,Modern Defense,A40,240+0
1796,1700,0-1,Time forfeit,"Sicilian Defense: Dragon Variation, Yugoslav Attack",B78,60+1
1714,1616,1-0,Normal,Bishop's Opening,C23,360+0
1714,2021,0-1,Normal,Bishop's Opening: Vienna Hybrid,C28,180+2
1823,1894,1-0,Time forfeit,Sicilian Defense: Old Sicilian,B30,420+0
1885,1861,0-1,Time forfeit,Caro-Kann Defense,B10,180+0
1570,1596,0-1,Normal,Sicilian Defense: Staunton-Cochrane Variation,B20,900+0
1407,1634,1-0,Normal,Nimzo-Indian Defense: Classical Variation,E32,840+8
1568,1500,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,300+0
1541,1643,0-1,Time forfeit,Ponziani Opening: Jaenisch Counterattack,C44,660+8
1388,1505,0-1,Normal,Queen's Pawn Game #2,D00,600+5
1762,1754,0-1,Normal,Old Benoni Defense #2,A43,180+0
1592,1483,1-0,Normal,Blackmar-Diemer Gambit: Gedult Gambit,D00,120+0
1714,1781,0-1,Time forfeit,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",B35,60+1
1501,1495,1-0,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,900+0
2035,1710,0-1,Normal,Scotch Game: Mieses Variation,C45,180+2
1775,1742,1-0,Normal,Queen's Pawn Game,D00,240+0
1610,1503,1-0,Time forfeit,Caro-Kann Defense: Hillbilly Attack,B00,60+0
1005,1500,0-1,Normal,Philidor Defense #3,C41,360+0
1766,1508,1-0,Normal,Scandinavian Defense: Modern Variation #2,B01,300+0
1064,1399,0-1,Normal,Ruy Lopez: Steinitz Defense,C62,900+5
1532,1642,1-0,Normal,Bishop's Opening: Boi Variation,C20,600+0
1767,1751,0-1,Time forfeit,Blackmar-Diemer Gambit: Gedult Gambit,D00,180+0
1589,1517,0-1,Normal,Philidor Defense #2,C41,300+0
1350,1430,0-1,Normal,Robatsch (Modern) Defense,B06,360+0
1821,1761,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,240+0
1475,1599,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,120+0
1383,1500,0-1,Normal,Bishop's Opening: Berlin Defense,C24,120+4
1518,1593,0-1,Normal,"King's Indian Defense: Normal Variation, Rare Defenses",E90,180+3
1504,1771,0-1,Time forfeit,Scandinavian Defense: Boehnke Gambit,B01,300+0
1647,1561,1-0,Normal,Ruy Lopez: Cozio Defense,C60,240+0
1494,1494,1/2-1/2,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,120+0
1722,1525,1-0,Normal,Owen Defense,B00,360+0
1695,1495,1-0,Normal,French Defense: Advance Variation #3,C02,180+8
1618,1319,0-1,Time forfeit,Philidor Defense #4,C41,60+0
1881,1836,1-0,Normal,Russian Game: Urusov Gambit,C42,420+0
1556,1559,0-1,Normal,King's Pawn Game,C20,180+5
1712,1552,0-1,Normal,Bishop's Opening: Vienna Hybrid,C28,240+0
1804,1490,0-1,Normal,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,120+0
1754,1530,1-0,Normal,"King's Gambit Accepted, Fischer Defense",C34,300+2
1986,1787,0-1,Time forfeit,Modern Defense,A40,180+0
1762,1608,0-1,Normal,Queen's Pawn Game,D00,180+0
1484,1617,1-0,Normal,Paleface Attack,A45,840+8
1513,1380,0-1,Time forfeit,Horwitz Defense,A40,600+5
1784,1773,1-0,Time forfeit,Queen's Pawn Game,D00,240+0
1489,1728,0-1,Time forfeit,King's Pawn Game: Wayward Queen Attack,C20,360+0
1635,1510,1-0,Normal,Rat Defense: Small Center Defense,C00,180+3
1481,1565,0-1,Normal,Center Game: Normal Variation,C22,240+0
1602,1690,0-1,Normal,Ruy Lopez: Steinitz Defense,C62,540+8
1529,1510,0-1,Time forfeit,"King's Gambit Accepted, Fischer Defense",C34,120+0
1216,1535,0-1,Time forfeit,Zukertort Opening: Queen's Gambit Invitation,A04,1200+5
1328,1359,0-1,Normal,Ruy Lopez: Berlin Defense #2,C65,480+10
1873,1705,0-1,Normal,English Opening: Symmetrical Variation,A30,60+1
1618,1520,1-0,Time forfeit,Pirc Defense #4,B07,180+0
1574,1472,1-0,Normal,Benoni Defense: Benoni Gambit Accepted,A43,240+0
1623,1747,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,180+0
1747,1623,0-1,Normal,Queen's Pawn Game,D00,180+0
1426,1597,0-1,Normal,Polish Opening: Czech Defense,A00,600+2
1570,1542,0-1,Normal,Pirc Defense #4,B07,180+5
1625,1377,1-0,Normal,"Pirc Defense: Classical Variation, Quiet System",B08,120+4
1609,1606,1-0,Normal,Philidor Defense,C41,300+8
1532,1683,1-0,Time forfeit,Philidor Defense: Exchange Variation #3,C41,360+20
1626,1621,0-1,Normal,Ruy Lopez: Berlin Defense #2,C65,420+3
1805,1969,0-1,Normal,Hungarian Opening: Indian Defense,A00,180+0
1595,1707,1-0,Normal,Sicilian Defense: Smith-Morra Gambit #2,B21,300+8
1525,1759,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,300+2
1522,1688,1-0,Time forfeit,Modern Defense,A40,120+0
1721,1856,1-0,Normal,Sicilian Defense: Najdorf Variation,B90,60+1
1634,1731,0-1,Normal,English Opening: King's English Variation,A20,180+2
1504,1666,0-1,Normal,Queen's Gambit Accepted: Old Variation,D20,180+3
1733,1732,1-0,Time forfeit,Bishop's Opening: Boi Variation,C20,360+0
1372,1680,0-1,Normal,Caro-Kann Defense,B10,120+4
1638,1754,0-1,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,180+0
1839,1735,1-0,Time forfeit,"Sicilian Defense: Accelerated Fianchetto, Maroczy Bind, 5...Bg7",B37,60+1
1717,1629,1-0,Time forfeit,Alekhine Defense: Maroczy Variation,B02,180+8
1975,1798,0-1,Time forfeit,Modern Defense,A40,180+0
1602,1488,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,840+8
1419,1478,1-0,Normal,"Italian Game: Scotch Gambit, de Riviere Defense",C55,300+3
1582,1585,0-1,Normal,Queen's Pawn Game: Zukertort Variation,D02,240+0
1363,1406,0-1,Normal,Russian Game: Three Knights Game,C42,600+8
1627,1464,1-0,Time forfeit,Scandinavian Defense,B01,180+0
1664,1368,1-0,Normal,"King's Indian Defense: Saemisch Variation, Normal Defense",E81,120+4
1233,1371,1-0,Normal,Three Knights Opening,C46,300+0
1603,1419,1-0,Normal,"Italian Game: Classical Variation, Albin Gambit",C53,600+2
1538,1500,1-0,Time forfeit,Mikenas Defense,A40,120+0
1597,1612,0-1,Normal,Slav Defense,D10,480+5
1764,1521,1-0,Normal,"King's Gambit Accepted, Fischer Defense",C34,300+2
1500,1530,0-1,Normal,Indian Game,A45,960+11
1386,1499,0-1,Normal,French Defense #2,C00,1200+20
1762,1631,1-0,Time forfeit,Queen's Pawn Game,D00,180+0
1741,1626,1-0,Normal,Sicilian Defense: McDonnell Attack,B21,180+2
1416,1352,1-0,Normal,"Philidor Defense: Philidor Countergambit, Zukertort Variation",C41,600+8
1768,1699,1-0,Normal,Owen Defense,B00,180+2
1482,1489,0-1,Normal,Queen's Pawn Game,D00,720+8
1545,1601,1-0,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,120+0
1546,1532,1-0,Time forfeit,Bishop's Opening,C23,600+0
1449,1651,0-1,Normal,Queen's Gambit Accepted: Old Variation,D20,300+8
1219,1571,0-1,Time forfeit,Mieses Opening,A00,240+0
1507,1377,0-1,Normal,Bird Opening,A02,1200+20
1621,1808,0-1,Normal,Pirc Defense #4,B07,300+2
1692,1610,0-1,Normal,Queen's Gambit Declined: Queen's Knight Variation,D31,300+8
1600,1634,0-1,Normal,Scandinavian Defense,B01,180+0
1810,1573,1-0,Normal,Queen's Pawn,A41,1140+19
1786,1537,0-1,Time forfeit,Pirc Defense #4,B07,300+2
1647,1385,0-1,Time forfeit,Pirc Defense #4,B07,120+4
1498,1500,0-1,Normal,English Defense #2,A40,180+3
1512,1356,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1364,1667,1-0,Normal,Modern Defense: Geller's System,B06,120+4
1753,1699,0-1,Normal,Modern Defense,A40,180+0
1339,1419,0-1,Normal,Queen's Pawn Game: Mason Attack,D00,780+11
1674,1490,1-0,Normal,French Defense: Horwitz Attack,C00,180+3
1627,1586,1-0,Normal,Queen's Pawn Game: Krause Variation,D02,480+5
1560,1667,0-1,Normal,Modern Defense,B06,60+3
1624,1769,1-0,Normal,Scandinavian Defense,B01,180+0
1610,1741,0-1,Normal,Owen Defense,B00,300+2
1324,1248,1-0,Normal,Sicilian Defense: Open,B33,300+0
1388,1503,0-1,Time forfeit,Polish Opening,A00,120+0
1587,1558,0-1,Normal,Italian Game,C50,120+0
1494,1425,1-0,Normal,King's Pawn Game: Wayward Queen Attack,C20,120+0
1690,1777,0-1,Normal,King's Pawn Game: McConnell Defense,C40,180+2
1747,1294,1-0,Normal,Ruy Lopez: Steinitz Defense,C62,180+8
1574,1511,1-0,Normal,Horwitz Defense,A40,240+0
1559,1596,1/2-1/2,Normal,Queen's Gambit Refused: Baltic Defense,D02,600+5
1571,1676,1-0,Normal,Dutch Defense,A80,120+0
1464,1447,1-0,Normal,King's Knight Opening: Normal Variation,C44,180+0
1583,1406,0-1,Normal,"Indian Game: Colle System, King's Indian Variation",A48,240+0
1438,1395,0-1,Normal,King's Pawn Game: McConnell Defense,C40,600+5
1741,1971,1-0,Normal,French Defense: Normal Variation,C00,180+0
1502,1833,1-0,Time forfeit,Caro-Kann Defense,B10,300+0
1511,1360,1-0,Normal,King's Pawn Game: Wayward Queen Attack,C20,120+0
1744,1763,1-0,Time forfeit,Scandinavian Defense,B01,360+0
1675,1553,1-0,Normal,Horwitz Defense,A40,60+3
1576,1541,0-1,Normal,Ruy Lopez: Exchange Variation,C68,300+0
1585,1621,0-1,Normal,"Englund Gambit Declined, Reversed Alekhine",A40,120+0
1521,1310,1-0,Time forfeit,"Italian Game: Two Knights Defense, Kloss Gambit",C57,180+1
1470,1500,0-1,Normal,Slav Defense,D10,300+0
1520,1740,0-1,Time forfeit,Owen Defense,B00,600+0
1397,1138,1-0,Normal,"Ruy Lopez: Morphy Defense, Tarrasch Variation",C77,900+5
1610,1704,0-1,Time forfeit,Old Benoni Defense,A43,840+8
1715,953,1-0,Time forfeit,Caro-Kann Defense,B12,300+2
1451,1725,1-0,Normal,Scotch Game,C45,840+14
952,1814,0-1,Normal,Van't Kruijs Opening,A00,300+2
1755,1704,0-1,Normal,Queen's Pawn Game: Symmetrical Variation,D02,300+8
1529,1848,1-0,Time forfeit,Blumenfeld Countergambit #2,E10,900+0
1915,1959,1/2-1/2,Time forfeit,Sicilian Defense: Closed,B24,180+0
1631,1575,1-0,Normal,Scotch Game,C44,120+0
1795,1712,1-0,Normal,Modern Defense: Geller's System,B06,240+0
1474,1567,0-1,Normal,Colle System #2,D05,240+0
1718,1615,1-0,Normal,"Alekhine Defense: Modern Variation, Larsen Variation",B04,300+2
1753,1424,1-0,Normal,Rat Defense: Harmonist,B07,120+4
1626,1418,1-0,Time forfeit,Semi-Slav Defense: Accelerated Move Order,D31,420+3
1425,1399,0-1,Normal,French Defense: Normal Variation,C00,900+10
1566,1641,1-0,Normal,"Englund Gambit Declined, Reversed Alekhine",A40,120+0
1618,1659,1-0,Normal,English Opening: King's English Variation,A20,120+4
1350,1473,1-0,Normal,Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,300+0
1667,1626,1-0,Normal,Slav Defense: Modern Line,D11,480+10
1291,1575,0-1,Normal,Four Knights Game: Italian Variation,C46,240+0
1433,1750,0-1,Time forfeit,French Defense: Normal Variation,C00,300+4
1627,1579,1-0,Normal,Scotch Game,C44,120+0
1421,1757,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,120+4
1492,1285,0-1,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+5
1519,1611,0-1,Time forfeit,King's Gambit,C30,300+0
1752,1768,0-1,Normal,Queen's Pawn Game: Zukertort Variation,D02,300+0
1569,1637,0-1,Normal,Old Benoni Defense,A43,120+0
1595,1538,1-0,Normal,Queen's Gambit Accepted: Old Variation,D20,420+4
1781,952,1-0,Normal,Owen Defense,B00,300+2
1350,1683,0-1,Normal,Modern Defense: Two Knights Variation,B06,60+3
1542,1609,0-1,Normal,English Opening: Anglo-Scandinavian Defense,A10,1440+8
1632,1656,0-1,Time forfeit,Italian Game: Anti-Fried Liver Defense,C55,600+0
1916,1957,1-0,Time forfeit,Four Knights Game: Scotch Variation Accepted,C47,180+0
1718,1752,1-0,Normal,"King's Gambit Accepted, Fischer Defense",C34,300+0
1646,1560,1-0,Normal,Scotch Game,C44,120+0
1608,1579,0-1,Time forfeit,"English Opening: Anglo-Indian Defense, Scandinavian Defense",A15,240+0
1552,1654,1/2-1/2,Normal,"Englund Gambit Declined, Reversed Alekhine",A40,120+0
1403,1621,0-1,Normal,Old Indian Defense,A53,600+1
1485,1406,1-0,Time forfeit,Englund Gambit Complex: Hartlaub-Charlick Gambit,A40,180+3
1517,1604,0-1,Normal,King's Pawn Game: McConnell Defense,C40,420+4
1439,1378,1-0,Normal,King's Pawn Game: Leonardis Variation,C20,300+2
1717,1743,0-1,Normal,Zukertort Opening: Dutch Variation,A04,300+8
1638,1623,0-1,Normal,Vienna Game: Falkbeer Variation,C26,300+8
2172,1548,1-0,Time forfeit,Zukertort Opening: Sicilian Invitation,A04,180+0
1803,1770,1-0,Normal,Horwitz Defense,A40,240+0
1814,1783,0-1,Normal,Sicilian Defense: Closed,B23,300+2
1899,1644,1-0,Normal,Queen's Gambit Declined: Tarrasch Defense: 4.cxd5 exd5,D32,180+0
1760,1417,0-1,Normal,Rat Defense: Harmonist,B07,120+4
1655,1656,0-1,Normal,St. George Defense,B00,180+2
1661,1763,1-0,Normal,"King's Gambit Accepted, Fischer Defense",C34,180+0
1765,1425,1-0,Normal,"Italian Game: Two Knights Defense, Kloss Gambit",C57,900+8
1586,1815,0-1,Time forfeit,Sicilian Defense: Bowdler Attack,B20,180+0
1555,1516,0-1,Normal,Pirc Defense: Roscher Gambit,B07,120+0
1500,1359,1-0,Normal,St. George Defense,B00,900+8
1760,1555,1-0,Normal,Rat Defense: Small Center Defense,C00,300+0
1742,1945,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,300+0
1751,1514,1-0,Time forfeit,Hungarian Opening,A00,600+0
1402,1342,1-0,Normal,Scandinavian Defense: Boehnke Gambit,B01,600+8
1909,1818,1-0,Normal,Philidor Defense: Morphy Gambit,C41,180+3
1776,1286,1-0,Normal,King's Pawn Game: Maroczy Defense,B07,300+0
1758,1890,1-0,Normal,Semi-Slav Defense: Quiet Variation,D30,420+0
1667,1644,0-1,Normal,Latvian Gambit Accepted,C40,180+2
1529,1543,0-1,Time forfeit,"King's Gambit Declined, Queen's Knight Defense",C30,120+0
1591,1580,1-0,Normal,Colle System #2,D05,240+0
1384,1430,1-0,Time forfeit,King's Pawn Opening: 2.b3,C20,300+3
1425,1298,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,180+2
1553,1518,0-1,Normal,Queen's Pawn Game: Symmetrical Variation,D02,120+0
1618,1564,0-1,Normal,Philidor Defense #3,C41,600+3
1556,1740,0-1,Time forfeit,French Defense: Exchange Variation,C01,60+0
1448,1363,0-1,Normal,King's Pawn Game: Leonardis Variation,C20,300+2
1397,1285,1-0,Time forfeit,Queen's Pawn Game: Mason Attack,D00,180+5
952,1860,0-1,Normal,Three Knights Opening: Steinitz Defense,C46,300+2
1928,1814,1-0,Normal,Four Knights Game: Scotch Variation Accepted,C47,180+0
1371,1591,0-1,Normal,Italian Game: Schilling-Kostic Gambit,C50,360+6
1550,1765,0-1,Normal,Caro-Kann Defense: Breyer Variation,B10,300+0
1464,1399,1-0,Normal,Queen's Pawn Game #2,D00,300+0
1656,1655,1-0,Normal,St. George Defense,B00,180+2
1857,1760,0-1,Normal,French Defense: Steinitz Attack,C00,180+0
1746,1550,0-1,Normal,Queen's Gambit Accepted,D20,60+0
1742,1918,0-1,Normal,Scotch Game: Schmidt Variation,C45,180+3
1531,1541,0-1,Normal,Hungarian Opening,A00,120+0
2173,1636,1-0,Normal,Zukertort Opening: Kingside Fianchetto,A04,180+0
1876,1772,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,420+0
1713,1613,1-0,Normal,Bishop's Opening: Berlin Defense,C24,720+0
1933,1627,1-0,Time forfeit,Queen's Pawn,A41,60+0
2175,1928,1-0,Normal,Reti Opening #2,A04,180+0
1622,1666,1-0,Time forfeit,Italian Game: Anti-Fried Liver Defense,C55,600+0
1575,1659,0-1,Time forfeit,King's Pawn Game: Leonardis Variation,C20,540+8
1914,1640,1-0,Normal,Italian Game,C50,180+0
1568,1729,0-1,Normal,"French Defense: La Bourdonnais Variation, Reuter Gambit",C00,60+0
1730,1647,1-0,Normal,Ruy Lopez: Bird Variation,C61,300+0
1389,1373,1/2-1/2,Normal,French Defense #2,C00,600+0
1623,1598,1-0,Normal,French Defense: Normal Variation,C00,120+1
1622,1947,0-1,Normal,Van't Kruijs Opening,A00,60+0
1617,1758,1-0,Normal,Slav Defense: Three Knights Variation,D15,180+0
1552,1519,0-1,Normal,Pirc Defense: Roscher Gambit,B07,120+0
1966,1835,1-0,Normal,Italian Game: Classical Variation,C53,600+0
1861,951,1-0,Normal,Queen's Gambit Refused: Austrian Defense,D06,300+2
1959,1617,1/2-1/2,Normal,Queen's Pawn,A41,60+0
1735,1561,1-0,Normal,English Defense #2,A40,60+0
1666,1713,0-1,Normal,Philidor Defense: Larsen Variation,C41,120+2
1680,1617,1-0,Normal,Queen's Gambit Accepted: Rosenthal Variation,D21,480+10
1771,1551,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1585,1688,0-1,Normal,"French Defense: Classical Variation, Steinitz Variation",C11,120+0
1554,2164,0-1,Time forfeit,Sicilian Defense: McDonnell Attack,B21,60+0
1917,1440,1-0,Normal,Pirc Defense,B07,300+2
1497,1242,1-0,Normal,Caro-Kann Defense,B15,1800+5
2181,1750,1-0,Normal,King's Indian Attack,A07,180+0
1542,1632,1-0,Time forfeit,Van't Kruijs Opening,A00,120+1
1629,1929,1-0,Normal,Van't Kruijs Opening,A00,60+0
1509,1707,0-1,Normal,French Defense: Knight Variation,C00,660+8
1532,1540,1-0,Normal,Mieses Opening,A00,120+0
1817,1761,1-0,Normal,Benoni Defense: Benoni-Indian Defense,A43,1140+19
1351,1506,1-0,Normal,Scotch Game,C45,900+8
1499,1568,1-0,Normal,Elephant Gambit,C40,420+10
1923,1926,1-0,Normal,Horwitz Defense,A40,180+0
1611,1863,0-1,Time forfeit,Queen's Pawn Game,D00,60+0
1738,1776,0-1,Normal,Indian Game,A45,300+0
1529,1544,0-1,Normal,Indian Game,A45,120+0
1676,1606,1-0,Normal,"Danish Gambit Declined, Sorensen Defense",C21,180+1
1773,1748,0-1,Normal,Van't Kruijs Opening,A00,300+0
1474,1796,0-1,Normal,"French Defense: Advance Variation, Nimzowitsch System",C02,480+14
1421,1435,0-1,Normal,Philidor Defense #3,C41,300+2
1598,1878,0-1,Time forfeit,Caro-Kann Defense: Exchange Variation,B13,60+0
1511,1654,1-0,Normal,"King's Gambit Declined, Queen's Knight Defense",C30,300+0
1619,1607,1-0,Normal,French Defense: Normal Variation,C00,120+1
1361,1295,1-0,Normal,Four Knights Game: Italian Variation,C50,180+1
1863,1635,1-0,Normal,Philidor Defense,C41,300+8
1870,1790,1-0,Time forfeit,Catalan Opening: Closed Variation,E07,60+0
1587,1890,0-1,Time forfeit,Hungarian Opening: Slav Formation,A00,60+0
1605,1500,0-1,Normal,Nimzo-Larsen Attack,A01,720+0
1765,1883,0-1,Normal,Queen's Indian Accelerated,A50,420+0
1519,1553,0-1,Normal,English Defense #2,A40,120+0
1829,1742,1-0,Normal,Modern Defense,A40,1140+19
1445,1381,0-1,Time forfeit,King's Pawn Game: Leonardis Variation,C20,300+2
1332,1411,0-1,Time forfeit,King's Pawn Game: Macleod Attack,C20,600+8
1393,1369,1-0,Normal,Queen's Pawn Game #2,D00,900+10
1630,1868,0-1,Normal,Center Game: Normal Variation,C22,300+8
1781,1879,0-1,Time forfeit,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation",D40,60+0
1712,1503,1-0,Time forfeit,Bird Opening,A02,660+8
1577,1900,0-1,Time forfeit,Nimzo-Larsen Attack: Classical Variation,A01,60+0
1438,1924,0-1,Time forfeit,Four Knights Game: Italian Variation,C50,300+2
1924,1734,1-0,Normal,"French Defense: Alekhine-Chatard Attack, Breyer Variation",C13,180+3
1786,1729,1/2-1/2,Time forfeit,Dutch Defense: Rubinstein Variation,A84,300+0
1509,1564,1-0,Normal,English Defense #2,A40,120+0
1584,1558,0-1,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,120+0
1919,1472,1-0,Normal,Queen's Pawn Game #2,D00,300+0
1550,1521,1-0,Normal,Russian Game: Urusov Gambit,C42,120+0
1887,1773,1-0,Time forfeit,"Sicilian Defense: Dragon Variation, Yugoslav Attack",B78,60+0
1500,1447,0-1,Normal,Owen Defense,B00,180+0
1910,1568,1-0,Time forfeit,Queen's Pawn,A40,60+0
1405,1623,0-1,Normal,Modern Defense: Mongredien Defense #2,B06,960+5
1491,1369,1-0,Normal,King's Pawn Game: Damiano Defense,C40,900+8
1532,951,1-0,Normal,Nimzowitsch Defense,B00,300+0
1596,1652,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,360+6
1512,1561,1-0,Normal,Queen's Pawn Game: Chigorin Variation,D02,120+0
1538,1422,0-1,Normal,Russian Game: Three Knights Game,C42,1800+5
1765,1894,0-1,Time forfeit,Zukertort Opening: Tennison Gambit,A06,60+0
1443,1436,0-1,Normal,Pirc Defense #4,B07,120+3
1366,1500,1-0,Normal,King's Pawn Game: Nimzowitsch Defense,B00,300+0
1560,1620,1-0,Normal,English Opening: The Whale,C20,900+0
1918,1730,1-0,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,60+0
1526,1504,1-0,Normal,"King's Gambit Declined, Queen's Knight Defense",C30,300+0
1317,1525,1-0,Normal,French Defense: Knight Variation,C00,420+9
1752,1460,1-0,Normal,Ruy Lopez: Classical Variation,C64,540+8
1548,1524,1-0,Normal,Italian Game,C50,120+0
1607,1654,0-1,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+10
1495,1643,0-1,Normal,Italian Game: Two Knights Defense,C55,60+0
1524,1548,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,120+0
1901,1757,0-1,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,60+0
1572,1580,1-0,Normal,Nimzowitsch Defense,B00,900+0
1933,1724,1-0,Time forfeit,Dutch Defense: Hopton Attack,A80,60+0
1651,1487,1-0,Time forfeit,Blackmar-Diemer Gambit: Netherlands Variation,D00,60+0
1297,1466,0-1,Normal,French Defense: Knight Variation,C00,180+0
1631,1412,1-0,Normal,Bishop's Opening: Boi Variation,C20,900+10
1818,1524,1/2-1/2,Normal,Queen's Pawn Game: Franco-Sicilian Defense,C00,300+8
1804,1470,1-0,Normal,Queen's Gambit Refused: Albin Countergambit,D08,480+14
1773,1886,1/2-1/2,Time forfeit,Sicilian Defense: Godiva Variation,B32,60+0
1947,1723,1-0,Time forfeit,Nimzo-Larsen Attack: English Variation,A01,60+0
1514,1535,0-1,Normal,Queen's Pawn Game #2,D00,120+0
1470,1921,0-1,Normal,French Defense: Knight Variation,C00,300+0
1612,1756,0-1,Normal,King's Indian Defense,E61,420+4
1730,1785,1-0,Normal,Bird Opening: Dutch Variation,A03,300+0
2170,1658,1-0,Time forfeit,King's Pawn Game,C20,60+0
1930,1733,1-0,Normal,Zukertort Opening: Sicilian Invitation,A04,60+1
1760,1728,1-0,Normal,Philidor Defense #4,C41,300+0
1449,1431,1-0,Normal,Giuoco Piano,C50,120+3
1536,1727,0-1,Normal,Sicilian Defense: McDonnell Attack,B21,300+0
1883,1777,1-0,Time forfeit,Sicilian Defense: Old Sicilian,B30,60+0
1546,1504,1-0,Normal,"Italian Game: Two Knights Defense, Knight Attack",C57,120+0
1862,1376,1-0,Time forfeit,Ruy Lopez: Steinitz Defense,C62,300+0
1283,1471,0-1,Normal,Philidor Defense #2,C41,360+3
949,1245,1-0,Normal,Queen's Pawn Game: Chigorin Variation,D02,300+0
1991,1657,1-0,Normal,Four Knights Game: Italian Variation,C46,60+0
1495,1556,0-1,Normal,French Defense: Rubinstein Variation,C10,120+0
1380,1735,0-1,Normal,Queen's Gambit Declined: Normal Defense,D35,600+0
1718,2101,0-1,Normal,"English Opening: King's English Variation, Reversed Closed Sicilian",A25,60+1
1769,1890,1-0,Time forfeit,Old Benoni Defense,A43,60+0
1556,1495,1-0,Normal,Philidor Defense #3,C41,120+0
1663,1586,0-1,Normal,"Four Knights Game: Spanish Variation, Classical Variation",C48,360+6
1735,1738,0-1,Normal,King's Pawn Game,C20,600+0
1692,1667,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,480+10
1619,1740,1-0,Normal,Philidor Defense: Exchange Variation #2,C41,300+0
1531,1500,1-0,Normal,"King's Gambit Declined, Petrov's Defense",C30,300+0
1758,2111,0-1,Normal,Englund Gambit Complex: Englund Gambit,A40,300+0
1641,1634,1-0,Normal,Queen's Pawn Game: Symmetrical Variation,D02,420+3
1339,1538,0-1,Normal,"Sicilian Defense: Closed Variation, Traditional",B25,300+0
1653,1486,0-1,Time forfeit,Italian Game,C50,60+0
1383,1401,0-1,Normal,"English Opening: King's English Variation, Reversed Sicilian",A21,240+4
1605,1560,1/2-1/2,Normal,"Old Indian: Czech Variation, with Nc3",A53,420+4
1566,1466,1-0,Normal,"King's Gambit Accepted, Fischer Defense",C34,480+14
1624,1656,1-0,Normal,Sicilian Defense: Delayed Alapin Variation,B40,420+3
1421,1461,1-0,Time forfeit,"King's Gambit Accepted, Fischer Defense",C34,120+3
1435,1800,0-1,Normal,Sicilian Defense: Open,B33,420+8
1501,1634,0-1,Time forfeit,Queen's Pawn Game #2,D00,60+0
1922,1743,1-0,Normal,Horwitz Defense,A40,300+0
1336,1428,0-1,Time forfeit,King's Knight Opening: Normal Variation,C44,1800+5
1940,1450,1-0,Normal,Zukertort Opening: Sicilian Invitation,A04,60+1
1403,1636,1-0,Normal,Queen's Pawn Game #3,D00,900+10
1760,1598,0-1,Time forfeit,Van't Kruijs Opening,A00,300+0
1335,1515,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,420+9
1233,1476,0-1,Normal,Queen's Pawn Game: Zukertort Variation,D02,1800+5
1734,1930,0-1,Normal,Gruenfeld Defense: Exchange Variation,D85,180+3
1643,1494,1-0,Time forfeit,French Defense: Exchange Variation,C01,60+0
1728,1784,0-1,Time forfeit,"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",B35,60+1
1632,1600,1-0,Normal,Queen's Gambit Refused: Marshall Defense,D06,360+6
1852,1718,1-0,Time forfeit,Philidor Defense #3,C41,120+1
1870,976,1-0,Normal,Mexican Defense,A50,300+0
1583,1431,1-0,Normal,French Defense: Steiner Variation,C00,900+0
